City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kabalo,-6.05,26.9167,29.42,51,27,2.56,CD,1693121091
83,talnakh,69.4865,88.3972,15.67,52,82,5.47,RU,1693120861
84,tezu,27.9167,96.1667,24.43,99,100,1.13,IN,1693121092
85,arraial do cabo,-22.9661,-42.0278,18.12,86,88,7.68,BR,1693121092
86,syktyvkar,61.6764,50.8099,7.85,93,75,2.0,RU,1693121092
87,namdrik,5.5994,168.1028,28.18,73,100,3.04,MH,1693121093
88,zag,46.9441,99.165,20.84,28,5,1.64,MN,1693121094
89,pacific grove,36.6177,-121.9166,16.68,91,100,2.06,US,1693121094
90,copala,16.65,-98.9833,25.36,88,11,2.09,MX,1693121095
91,ustyuzhna,58.8394,36.4321,15.68,57,5,2.47,RU,1693121095
92,tafuna,-14.3358,-170.72,24.97,100,100,7.2,AS,1693121095
93,puerto ayora,-0.7393,-90.3518,24.19,94,42,2.24,EC,1693121096
94,antsiranana,-12.2787,49.2917,24.42,83,40,8.23,MG,1693121096
95,naracoorte,-36.9579,140.7383,15.75,68,100,0.85,AU,1693121096
96,san carlos de bariloche,-41.1456,-71.3082,0.8,57,0,1.54,AR,1693121097
97,new norfolk,-42.7826,147.0587,11.72,55,0,1.54,AU,1693121097
98,papao,-17.75,-149.55,24.82,71,11,7.56,PF,1693121097
99,aasiaat,68.7098,-52.8699,3.02,96,100,2.54,GL,1693121098
100,karkira,36.9292,6.5856,34.35,27,100,5.84,DZ,1693121098
101,mount isa,-20.7333,139.5,28.87,18,0,4.12,AU,1693121098
102,stanley,54.868,-1.6985,14.04,94,20,1.03,GB,1693121099
103,isafjordur,66.0755,-23.124,10.79,73,65,2.18,IS,1693121099
104,punta arenas,-53.15,-70.9167,2.71,92,100,3.76,CL,1693121099
105,korsakov,46.6328,142.7813,21.91,90,100,2.54,RU,1693121100
106,tofol,5.3248,163.0078,28.79,70,100,2.69,FM,1693121100
107,vila franca do campo,37.7167,-25.4333,21.23,83,58,5.07,PT,1693121101
108,puerto bolivar,-3.2667,-79.9833,22.81,83,37,1.79,EC,1693121102
109,fort st. john,56.2499,-120.8529,15.94,67,0,3.09,CA,1693120953
110,nova sintra,14.8667,-24.7167,24.3,76,44,1.22,CV,1693121103
111,sao tome,0.3365,6.7273,26.02,83,75,3.09,ST,1693121103
112,keflavik,64.0049,-22.5624,10.95,87,100,3.6,IS,1693120944
113,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,46,0,2.0,RU,1693121104
114,bejar,40.3864,-5.7634,10.06,76,0,4.95,ES,1693121105
115,horta,38.5333,-28.6333,22.8,85,20,6.17,PT,1693121105
116,lautoka,-17.6167,177.4667,23.92,69,40,3.6,FJ,1693121106
117,fonte boa,-2.4959,-66.2662,24.92,70,8,0.81,BR,1693121106
118,phuthaditjhaba,-28.5242,28.8158,8.45,48,0,1.92,ZA,1693121106
119,mkushi,-13.6202,29.3939,27.78,23,0,5.34,ZM,1693121107
120,lebu,-37.6167,-73.65,6.62,77,0,2.08,CL,1693121107
121,mukalla,14.5425,49.1242,32.69,63,9,3.43,YE,1693121107
122,sayansk,54.1088,102.1648,22.41,58,89,1.95,RU,1693121108
123,longyearbyen,78.2186,15.6401,6.91,100,75,4.63,SJ,1693121108
124,talcahuano,-36.7167,-73.1167,3.82,93,0,2.06,CL,1693121108
125,yellowknife,62.456,-114.3525,11.9,96,95,3.79,CA,1693121021
126,constantia,44.1833,28.65,28.38,57,0,3.73,RO,1693121109
127,kosan,38.8558,127.4181,22.16,90,100,2.39,KP,1693121109
128,lwowek slaski,51.1107,15.5858,22.19,78,99,2.39,PL,1693121110
129,ambon,-3.6954,128.1814,26.1,79,36,7.95,ID,1693121110
130,faya-largeau,17.9257,19.1043,37.7,13,70,9.7,TD,1693121110
131,iqaluit,63.7506,-68.5145,5.85,86,100,10.73,CA,1693120857
132,richmond,37.5538,-77.4603,24.62,92,100,3.09,US,1693120754
133,lycksele,64.5954,18.6735,10.93,93,100,0.51,SE,1693121111
134,holualoa,19.6228,-155.9522,24.91,86,100,3.6,US,1693121112
135,margate,51.3813,1.3862,13.82,87,1,0.45,GB,1693121112
136,najran,17.4924,44.1277,36.36,8,52,3.9,SA,1693121112
137,nova vicosa,-17.8919,-39.3719,23.08,89,100,5.73,BR,1693121113
138,smithers,54.7804,-127.1743,15.18,77,0,0.0,CA,1693121113
139,veraval,20.9,70.3667,27.97,74,100,6.51,IN,1693120983
140,rio grande,-32.035,-52.0986,1.64,75,5,4.73,BR,1693121114
141,petauke,-14.2426,31.3253,27.84,29,0,3.37,ZM,1693121114
142,happy valley-goose bay,53.3168,-60.3315,11.17,93,100,2.06,CA,1693121114
143,west island,-12.1568,96.8225,26.99,69,75,8.23,CC,1693121115
144,memphis,35.1495,-90.049,27.07,83,75,3.6,US,1693121115
145,egilsstadir,65.2653,-14.3948,10.95,93,100,3.6,IS,1693121115
146,madingou,-4.1536,13.55,25.41,69,62,2.05,CG,1693121116
147,anamur,36.0751,32.8369,29.37,68,21,3.16,TR,1693121116
148,punch,33.7679,74.0897,28.42,52,30,2.55,IN,1693120921
149,ozark,37.0209,-93.206,22.95,94,76,2.75,US,1693121117
150,yaren,-0.5472,166.916,28.84,70,13,2.77,NR,1693121117
151,milford haven,51.7128,-5.0341,15.9,85,100,6.47,GB,1693121118
152,fallon,39.4735,-118.7774,23.84,28,0,4.63,US,1693121118
153,ushuaia,-54.8,-68.3,-0.36,93,100,2.81,AR,1693120881
154,atafu village,-8.5421,-172.5159,28.41,71,89,5.81,TK,1693121119
155,weno,7.4515,151.8468,28.22,76,100,3.26,FM,1693121119
156,cox's bazar,21.4532,91.9798,27.11,85,98,2.67,BD,1693121095
157,kismayo,-0.3582,42.5454,27.63,69,23,6.87,SO,1693121120
158,cherdyn',60.403,56.4787,9.62,87,100,2.69,RU,1693121120
159,sola,-13.8833,167.55,24.77,71,100,9.53,VU,1693121120
160,kilju,40.9642,129.3278,24.42,78,100,2.11,KP,1693120854
161,seven pagodas,12.6264,80.1722,31.7,64,100,2.07,IN,1693121121
162,villa gesell,-37.2639,-56.973,1.7,78,8,1.8,AR,1693121119
163,valparaiso,-33.0393,-71.6273,8.8,81,0,2.06,CL,1693121121
164,qaqortoq,60.7167,-46.0333,5.65,88,100,0.46,GL,1693121122
165,cockburn town,21.4612,-71.1419,28.22,74,0,3.42,TC,1693121122
166,faxinal,-24.0003,-51.3194,8.35,93,57,1.99,BR,1693121122
167,igrim,63.1906,64.4162,12.01,51,83,2.32,RU,1693121123
168,juegang,32.3174,121.1855,29.99,79,100,8.11,CN,1693121123
169,queenstown,-31.8976,26.8753,7.69,53,2,0.45,ZA,1693121123
170,asbestos,45.7668,-71.9324,15.75,98,6,0.33,CA,1693121124
171,lianzhou,24.7811,112.3825,31.6,75,98,1.7,CN,1693121124
172,khabarovsk,48.4808,135.0928,19.86,64,20,4.0,RU,1693120360
173,viedma,-40.8135,-62.9967,4.52,43,0,4.17,AR,1693121125
174,klyuchi,52.2667,79.1667,23.94,48,100,5.06,RU,1693121125
175,serra talhada,-7.9919,-38.2983,21.09,78,0,2.43,BR,1693121125
176,ormara,25.2088,64.6357,27.25,77,98,6.34,PK,1693121126
177,tual,-5.6667,132.75,25.72,82,60,10.61,ID,1693121126
178,sao pedro,-22.5486,-47.9139,13.1,78,96,5.34,BR,1693121126
179,amungan,15.3652,119.9582,27.83,81,100,4.81,PH,1693121126
180,santiago de cuba,20.0247,-75.8219,26.06,89,40,1.54,CU,1693120973
181,diego de almagro,-26.3667,-70.05,14.21,21,0,0.85,CL,1693121127
182,katima mulilo,-17.5,24.2667,25.41,19,0,4.88,NA,1693121127
183,choma,-16.8065,26.9531,25.18,20,2,5.34,ZM,1693121128
184,bubaque,11.2833,-15.8333,27.24,81,53,4.64,GW,1693121128
185,avarua,-21.2078,-159.775,22.03,83,20,2.06,CK,1693121128
186,nishinoomote,30.7333,131.0,28.31,89,40,4.12,JP,1693121129
187,cole harbour,44.6724,-63.4751,19.43,97,100,4.12,CA,1693121129
